year,month,state,data_status,revenue,megawatthours,customers,price,Unnamed: 0,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
2022,5,IL,Final,303224,3384321,5482,8.96,41674,57.4,56.8,-89.1983967614,40.0650409125
2022,5,IN,Final,313360,3709491,19118,8.45,41675,57.1,56.0,-86.2756397346,39.9081412284
2022,5,KS,Final,78827,996042,24240,7.91,41677,59.4,58.5,-98.3802131736,38.4847081514
2022,5,KY,Final,192431,2623620,5467,7.33,41678,61.0,59.8,-85.2904560935,37.5266674638
2022,5,LA,Final,224859,3446485,20031,6.52,41679,72.4,69.9,-92.5856620163,31.0584069584
2022,5,MA,Final,86991,533296,10593,16.31,41682,53.4,50.2,-71.7986394244,42.2533023991
2022,5,MD,Final,30329,310165,9145,9.78,41681,58.7,57.2,-76.7724546076,39.0369222963
2022,5,ME,Final,23452,196549,2233,11.93,41680,47.6,44.5,-69.2266474552,45.3714334913
2022,5,MI,Final,205888,2365784,5791,8.7,41683,48.9,47.7,-85.4371669561,44.3506813109
2022,5,MN,Final,157695,1707132,9444,9.24,41684,45.6,47.8,-94.3090126515,46.3163329315
2022,5,MO,Final,83612,1157879,9898,7.22,41686,59.4,59.3,-92.4774101578,38.3676131565
2022,5,MS,Final,91169,1387122,11173,6.57,41685,69.7,67.4,-89.6652136847,32.750866634
2022,5,MT,Final,22749,352425,12325,6.45,41687,41.8,45.5,-109.645148622,47.0335364218
2022,5,NC,Final,147930,2214756,9257,6.68,41694,63.8,62.1,-79.3723797543,35.5415341226
2022,5,ND,Final,67186,914390,9145,7.35,41695,43.2,47.4,-100.469321077,47.446338517
2022,5,NE,Final,77808,1062598,66440,7.32,41688,52.6,53.0,-99.8108090713,41.5271489603
2022,5,NH,Final,23240,165628,3175,14.03,41690,49.9,46.7,-71.5775941473,43.6856317461
2022,5,NJ,Final,65780,545558,11438,12.06,41691,57.2,54.6,-74.6607541123,40.1844273633
2022,5,NM,Final,53735,870521,9282,6.17,41692,60.1,55.8,-106.108388616,34.4213707591
2022,5,NV,Final,76103,1074123,3496,7.09,41689,50.8,50.7,-116.65522549,39.3562373462
2022,5,NY,Final,84687,1210068,7332,7.0,41693,51.2,48.7,-75.5031182762,42.9403901101
2022,5,OH,Final,317668,4164141,19560,7.63,41696,56.2,54.6,-82.7900611953,40.291452206
2022,5,OK,Final,131224,1892868,20123,6.93,41697,65.8,63.7,-97.5082927121,35.5834856477
2022,5,OR,Final,103064,1554773,26849,6.63,41698,44.0,47.3,-120.555413394,43.9366481606
2022,5,PA,Final,330285,4110351,14819,8.04,41699,53.8,52.3,-77.7995595623,40.8738378455
2022,5,RI,Final,9410,55058,1651,17.09,41700,54.4,50.9,-71.5536120535,41.6760813901
2022,5,SC,Final,155801,2307292,3667,6.75,41701,67.6,66.1,-80.8961396866,33.9079742468
